2023 Next Generation MCAS Achievement Results ,,,,,,,,,,,,,,,,,
District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Brookline,00460000,ELA,"       2,047",69,         598,20,"       1,449",49,         717,24,         185,6,"       2,949",99,     511,          57,"       2,200"
Brookline,00460000,MATH,"       2,054",70,         634,22,"       1,420",48,         699,24,         194,7,"       2,947",99,     511,          57,"       2,200"
Brookline,00460000,SCI,         735,70,         179,17,         556,53,         261,25,          51,5,"       1,047",99,     511,,
Burlington,00480000,ELA,         848,52,         138,8,         710,44,         607,37,         175,11,"       1,630",98,     500,          51,"       1,275"
Burlington,00480000,MATH,         912,56,         169,10,         743,45,         563,34,         163,10,"       1,638",99,     502,          52,"       1,272"
Burlington,00480000,SCI,         247,47,          26,5,         221,42,         220,42,          59,11,         526,97,     498,,
Cambridge,00490000,ELA,"       1,505",59,         414,16,"       1,091",43,         728,28,         334,13,"       2,567",97,     504,          56,"       1,891"
Cambridge,00490000,MATH,"       1,363",53,         349,14,"       1,014",40,         848,33,         344,13,"       2,555",97,     502,          57,"       1,874"
Cambridge,00490000,SCI,         434,51,          91,11,         343,40,         309,36,         111,13,         854,95,     499,,
Canton,00500000,ELA,         784,53,         144,10,         640,43,         553,37,         138,9,"       1,475",99,     501,          52,"       1,161"
Canton,00500000,MATH,         845,58,         165,11,         680,46,         490,33,         134,9,"       1,469",99,     504,          56,"       1,156"
Canton,00500000,SCI,         251,53,          38,8,         213,45,         173,36,          50,11,         474,98,     500,,
Cape Cod Lighthouse Charter (District),04320000,ELA,         141,58,          39,16,         102,42,          72,29,          32,13,         245,98,     503,          53,         234
Cape Cod Lighthouse Charter (District),04320000,MATH,         121,49,          17,7,         104,42,         100,41,          25,10,         246,99,     499,          42,         234
Cape Cod Lighthouse Charter (District),04320000,SCI,          48,61,           3,4,          45,57,          25,32,           6,8,          79,98,     501,,
Carlisle,00510000,ELA,         292,75,          69,18,         223,57,          83,21,          16,4,         391,99,     512,          58,         313
Carlisle,00510000,MATH,         291,74,         106,27,         185,47,          83,21,          20,5,         394,99,     514,          59,         318
Carlisle,00510000,SCI,         108,80,          33,24,          75,56,          22,16,           5,4,         135,99,     516,,
Carver,00520000,ELA,         210,29,          13,2,         197,27,         375,52,         138,19,         723,98,     489,          43,         547
Carver,00520000,MATH,         225,31,          15,2,         210,29,         398,55,         102,14,         725,99,     491,          50,         549
Carver,00520000,SCI,          69,32,           8,4,          61,28,         108,50,          39,18,         216,98,     492,,
Central Berkshire,06350000,ELA,         296,43,          52,8,         244,36,         254,37,         134,20,         684,99,     494,          48,         526
Central Berkshire,06350000,MATH,         250,37,          33,5,         217,32,         318,47,         115,17,         683,99,     493,          47,         526
Central Berkshire,06350000,SCI,         107,45,          13,5,          94,39,          99,42,          32,13,         238,98,     496,,
Chelmsford,00560000,ELA,"       1,270",55,         245,11,"       1,025",44,         830,36,         221,10,"       2,321",99,     502,          52,"       1,832"
Chelmsford,00560000,MATH,"       1,190",51,         253,11,         937,40,         902,39,         233,10,"       2,325",99,     502,          52,"       1,834"
