2024-25 Enrollment by Selected Population (District) ,,,,,,,,,,,,,
District Name,District Code,High Needs#,High Needs%,English Learners#,English Learners%,First Language Not English#,First Language Not English%,Low Income#,Low Income%,Students with Disabilities#,Students with Disabilities%,Students with Disabilities#,Students with Disabilities%
Greater Fall River Regional Vocational Technical,08210000,     745,  50.9,      36,   2.5,     177,  12.1,     637,  43.5, , ,     178,  12.2
Greater Lawrence Regional Vocational Technical,08230000,"   1,316",  71.6,     176,   9.6,     840,  45.7,"   1,158",  63.0, , ,     219,  11.9
Greater Lowell Regional Vocational Technical,08280000,"   1,305",  56.4,     182,   7.9,     563,  24.3,"   1,024",  44.3, , ,     370,  16.0
Greater New Bedford Regional Vocational Technical,08250000,"   1,237",  57.5,      93,   4.3,     321,  14.9,"   1,081",  50.3, , ,     278,  12.9
Greenfield,01140000,     937,  67.2,     103,   7.5,     182,  13.3,     843,  61.5, , ,     311,  22.3
Groton-Dunstable,06730000,     617,  26.6,      48,   2.1,      62,   2.7,     223,   9.7, , ,     424,  18.3
Hadley,01170000,     209,  40.3,      33,   6.4,      34,   6.6,     154,  29.7, , ,      97,  18.7
Halifax,01180000,     223,  41.8,       6,   1.1,       7,   1.3,     134,  25.2, , ,     126,  23.6
Hamilton-Wenham,06750000,     431,  25.2,      12,   0.7,      44,   2.6,     127,   7.6, , ,     332,  19.4
Hampden Charter School of Science (District),04990000,     632,  67.4,      41,   4.4,      77,   8.2,     540,  57.6, , ,     165,  17.6
Hampden-Wilbraham,06800000,"   1,037",  35.7,      39,   1.4,     112,   3.9,     650,  22.6, , ,     534,  18.4
Hampshire,06830000,     264,  35.7,      10,   1.4,      19,   2.6,     143,  19.9, , ,     164,  22.2
Hancock,01210000,      21,  42.9,       0,   0.0,       0,   0.0,      16,  33.3, , ,      13,  26.5
Hanover,01220000,     759,  29.4,      39,   1.5,     119,   4.7,     251,   9.8, , ,     574,  22.2
Harvard,01250000,     264,  25.2,      22,   2.2,      78,   7.6,     110,  10.8, , ,     164,  15.7
Hatfield,01270000,     118,  38.1,       2,   0.6,       3,   1.0,      69,  22.3, , ,      75,  24.2
Haverhill,01280000,"   5,707",  71.1,"   1,170",  14.7,"   2,291",  28.9,"   4,843",  61.0, , ,"   2,021",  25.2
Hawlemont,06850000,      50,  69.4,       0,   0.0,       1,   1.4,      39,  54.9, , ,      27,  37.5
Hill View Montessori Charter Public (District),04550000,     162,  52.9,      27,   8.8,      54,  17.6,     111,  36.3, , ,      57,  18.6
Hilltown Cooperative Charter Public (District),04500000,      75,  34.4,       0,   0.0,       0,   0.0,      41,  18.8, , ,      48,  22.0
Hingham,01310000,     910,  24.9,      26,   0.7,     115,   3.2,     288,   8.0, , ,     681,  18.6
